iter	RMSE
0	0.9981447357
1	0.9751695333
2	0.9543834477
3	0.9365252073
4	0.9196796575
5	0.9043366759
6	0.8920297175
7	0.8815131912
8	0.8714980106
9	0.862229069
10	0.8550321819
11	0.8487286128
12	0.8431974953
13	0.8370576852
14	0.8318000815
15	0.8276882279
16	0.8238461755
17	0.8203141538
18	0.8166542639
19	0.8137148897
20	0.8107784082
21	0.8072960748
22	0.8047713069
23	0.8023610033
24	0.7998025912
25	0.7979570644
26	0.7962006616
27	0.794251055
28	0.7929573345
29	0.7915162132
30	0.7901078473
31	0.7888526278
32	0.7875893807
33	0.7865227556
34	0.785218795
35	0.784327228
36	0.7833352505
37	0.7825320661
38	0.7817466452
39	0.7808621449
40	0.7801157237
41	0.7795121678
42	0.7790209087
43	0.7781456761
44	0.7775500923
45	0.7768301193
46	0.7760437037
47	0.7753756373
48	0.774776709
49	0.7741169917
50	0.7736246629
51	0.7732693052
52	0.7724009053
53	0.7720247389
54	0.7713888918
55	0.7709432699
56	0.7702915567
57	0.7699954893
58	0.769186465
59	0.7688264123
60	0.7682916713
61	0.7679711448
62	0.7672888369
63	0.767030935
64	0.7665881416
65	0.7662867013
66	0.7659257994
67	0.7657435148
68	0.7653885572
69	0.7650613476
70	0.7649140398
71	0.7646124352
72	0.7642419492
73	0.7639731632
74	0.76359291
75	0.7633441215
76	0.7629744836
77	0.762639535
78	0.762296314
79	0.762011578
80	0.7617351045
81	0.76138535
82	0.7610586101
83	0.76091372
84	0.7607327963
85	0.760523533
86	0.7602424218
87	0.7599811909
88	0.7597807951
89	0.7594372716
90	0.7591913044
91	0.7587389428
92	0.7583422718
93	0.7580112192
94	0.7578721895
95	0.7575475153
96	0.7573208759
97	0.7571223003
98	0.7567740787
99	0.7564626585
100	0.7562996126
101	0.756032275
102	0.7557983885
103	0.7555673602
104	0.7553287997
105	0.7551290729
106	0.7547714902
107	0.7545533161
108	0.7542665445
109	0.7540791501
110	0.753892066
111	0.7535305217
112	0.7531786269
113	0.7529375325
114	0.7526180141
115	0.7523181845
116	0.7520829079
117	0.7518809236
118	0.7515864937
119	0.7513304488
120	0.7511331594
121	0.7507588982
122	0.750596193
123	0.7501688186
124	0.7499270992
125	0.7496427929
126	0.7492940376
127	0.7490760353
128	0.7488470627
129	0.7484897932
130	0.7482762472
131	0.7478643691
132	0.7474493485
133	0.7471648722
134	0.7466149491
135	0.7460095185
136	0.7458069021
137	0.7455751576
138	0.7453851038
139	0.7451552103
140	0.7447059656
141	0.7444633284
142	0.7442217262
143	0.743861587
144	0.7430607834
145	0.742610236
146	0.7420075354
147	0.7415262676
148	0.7413393428
149	0.7410887144
150	0.7407824555
151	0.7404574373
152	0.7400344906
153	0.7397769766
154	0.7390766015
155	0.7388517382
156	0.7385639919
157	0.7383578527
158	0.7379932337
159	0.7371456942
160	0.7369310787
161	0.7362698134
162	0.7359586419
163	0.7357546535
164	0.7355841556
165	0.735362255
166	0.7349674004
167	0.7347625971
168	0.7343216778
169	0.734018637
170	0.7332754135
171	0.733114467
172	0.7325684745
173	0.7323686839
174	0.7322212369
175	0.7320812344
176	0.7318629036
177	0.7315827392
178	0.7313980465
179	0.7312043434
180	0.7309187101
181	0.7303284271
182	0.7298487252
183	0.7295302906
184	0.729350767
185	0.7291813996
186	0.728572696
187	0.7280005229
188	0.7278394015
189	0.727560674
190	0.7274207111
191	0.7272223026
192	0.7270499264
193	0.7267345915
194	0.7258571447
195	0.7257196412
196	0.7251666544
197	0.7248641481
198	0.7242015825
199	0.7238318417
200	0.7237131518
201	0.7234223269
202	0.7231951862
203	0.7228632241
204	0.7227490627
205	0.7225123933
206	0.7222110369
207	0.7220832888
208	0.7217648112
209	0.7215979713
210	0.7214474492
211	0.7211720407
212	0.7210117934
213	0.7208627576
214	0.7201090309
215	0.7196082828
216	0.7194736591
217	0.7193792035
218	0.7190704693
219	0.7189553016
220	0.7185408687
221	0.7183960614
222	0.7182681436
223	0.7178954923
224	0.7177625327
225	0.7176190242
226	0.7174908473
227	0.7173512712
228	0.7170191453
229	0.7168783681
230	0.7164869131
231	0.7162250272
232	0.7159932446
233	0.715822904
234	0.7156724155
235	0.715417569
236	0.71509873
