iter	Passed	Remaining
0	954	953213
1	1831	913951
2	2724	905320
3	3619	901329
4	4530	901518
5	5425	898807
6	6314	895741
7	7210	894062
8	8105	892476
9	9001	891120
10	9903	890381
11	10787	888145
12	11660	885298
13	12569	885225
14	13463	884079
15	14360	883169
16	14415	833526
17	15313	835412
18	16207	836820
19	17108	838338
20	18004	839343
21	18906	840487
22	19775	840032
23	20662	840288
24	21553	840593
25	22451	841077
26	23338	841058
27	24227	841036
28	25120	841110
29	26014	841147
30	26913	841253
31	27794	840793
32	28693	840808
33	29577	840341
34	30471	840154
35	31366	839931
36	32270	839911
37	33173	839817
38	34075	839643
39	34966	839192
40	35855	838665
41	36752	838298
42	37646	837844
43	38541	837410
44	38745	822261
45	39625	821800
46	40502	821247
47	41391	820935
48	42305	821079
49	43260	821952
50	44155	821645
51	45049	821287
52	45104	805919
53	45990	805691
54	46876	805415
55	47767	805220
56	48662	805061
57	49559	804918
58	50459	804778
59	51358	804610
60	52251	804335
61	53152	804147
62	54046	803829
63	54146	791895
64	55043	791772
65	55927	791458
66	56832	791414
67	57725	791179
68	58630	791081
69	59516	790721
70	60412	790470
71	61313	790259
72	62200	789855
73	63098	789582
74	63995	789276
75	64887	788897
76	65789	788616
77	66684	788248
78	67591	787997
79	68480	787522
80	69379	787162
81	70262	786592
82	71161	786200
83	72057	785773
84	72945	785232
85	73845	784821
86	74741	784356
87	75636	783864
88	76526	783323
89	77435	782963
90	78329	782435
91	79221	781880
92	80122	781413
93	81013	780834
94	81921	780407
95	82821	779900
96	83722	779395
97	84633	778972
98	85540	778508
99	86441	777974
100	87342	777433
101	88233	776796
102	89141	776307
103	90032	775667
104	90904	774852
105	91804	774274
106	92697	773637
107	93600	773067
108	94500	772478
109	95404	771905
110	96291	771198
111	97186	770551
112	98092	769983
113	98997	769397
114	99869	768561
115	100773	767964
116	101669	767303
117	102572	766685
118	103470	766027
119	104376	765429
120	105274	764764
121	106171	764085
122	107072	763437
123	107978	762814
124	108862	762038
125	109748	761271
126	110658	760665
127	111548	759923
128	112449	759255
129	113352	758588
130	114268	758011
131	115223	757680
132	116143	757116
133	117048	756444
134	117959	755813
135	118850	755048
136	119747	754323
137	120667	753735
138	121552	752928
139	122436	752108
140	123329	751350
141	124219	750563
142	125111	749792
143	126022	749132
144	126913	748353
145	127807	747589
146	128702	746824
147	129605	746109
148	130506	745375
149	131406	744635
150	132335	744060
151	133242	743353
152	134149	742647
153	135061	741963
154	135957	741188
155	136883	740573
156	137805	739937
157	138710	739202
158	139623	738513
159	140531	737788
160	141443	737088
161	142343	736317
162	143239	735529
